,date,13ty_index,interty_index,lty_index,mbs_index,13cy_index,intercy_index,lcy_index,ty_index,cy_index,agg_index,real_known,cat_obs1,cat_obs2,cat_knwon1,cat_knwon2,static
29,1997-06-27,134.88,794.86,863.1,764.85,675.68,909.58,938.61,838.11,879.83,728.61,343.47166736783475,0,0,4,4,1.0
30,1997-06-30,134.84,793.57,858.58,764.09,675.66,907.91,935.2,836.68,877.45,727.19,161.7051171250222,2,2,4,3,1.0
31,1997-07-01,134.97,795.52,864.26,765.83,676.2,910.48,939.84,838.91,880.79,729.4,748.7463535632083,1,2,4,3,1.0
32,1997-07-02,135.02,796.16,867.37,766.74,676.5,911.66,942.92,840.17,882.55,730.5,918.5529188130586,0,0,3,4,1.0
33,1997-07-03,135.26,798.82,876.21,769.72,677.82,916.02,951.62,844.41,888.25,734.06,726.751027754984,2,0,3,4,1.0
34,1997-07-04,135.26,798.82,876.21,769.72,677.82,916.02,951.62,844.41,888.25,734.06,609.0138863093708,0,2,5,4,1.0
35,1997-07-07,135.4,800.11,880.67,771.17,678.67,918.1,956.01,846.51,891.06,735.8,216.45960428496102,1,2,5,3,1.0
36,1997-07-08,135.41,800.08,880.64,770.79,678.73,918.1,956.01,846.49,891.06,735.66,743.8832374389746,2,1,5,4,1.0
37,1997-07-09,135.48,800.74,883.29,771.33,679.14,919.1,958.54,847.65,892.55,736.6,30.474478619962774,2,1,5,4,1.0
38,1997-07-10,135.49,800.86,883.06,771.48,679.19,919.29,958.35,847.68,892.55,736.68,191.61237811407395,0,1,4,3,1.0
39,1997-07-11,135.52,801.27,885.33,772.02,679.36,920.01,960.54,848.56,893.78,737.39,233.26358613576735,2,2,4,4,1.0
40,1997-07-14,135.51,800.98,884.32,771.81,679.3,919.51,959.72,848.09,893.19,737.03,494.47578865308896,0,0,5,5,1.0
41,1997-07-15,135.55,801.26,884.57,772.03,679.56,920.1,960.27,848.37,893.74,737.31,348.77258982223856,2,0,5,5,1.0
42,1997-07-16,135.67,802.61,890.69,773.59,680.26,922.36,966.33,850.92,897.21,739.42,987.5823485301719,0,2,5,4,1.0
43,1997-07-17,135.7,802.76,890.43,773.64,680.42,922.57,966.19,850.97,897.29,739.46,559.8019997430337,1,0,5,3,1.0
44,1997-07-18,135.66,801.98,886.76,772.67,680.15,921.07,962.63,849.47,895.14,738.19,173.3001683421821,1,0,5,5,1.0
45,1997-07-21,135.66,801.79,885.63,772.19,680.12,920.62,961.59,849.04,894.51,737.77,414.9127207011386,2,1,4,5,1.0
46,1997-07-22,135.87,804.28,895.87,774.7,681.39,924.89,971.73,853.5,900.62,741.4,739.5635682084785,2,2,3,3,1.0
47,1997-07-23,135.92,804.75,897.19,775.15,681.67,925.68,973.39,854.19,901.67,741.99,941.3358038012307,0,1,4,5,1.0
48,1997-07-24,135.94,804.79,896.64,775.28,681.76,925.64,972.7,854.09,901.41,741.94,561.5116781362601,1,2,5,4,1.0
49,1997-07-25,135.91,804.35,894.43,774.89,681.62,924.81,970.68,853.2,900.2,741.26,617.7324747484384,0,2,5,5,1.0
50,1997-07-28,136.04,805.46,898.28,775.72,682.33,926.44,974.56,855.01,902.54,742.65,830.1997953700469,2,0,5,3,1.0
51,1997-07-29,136.17,806.76,902.26,776.82,683.08,928.52,978.56,857.01,905.19,744.25,290.0142399673895,2,2,5,5,1.0
52,1997-07-30,136.25,807.81,906.26,777.89,683.59,930.29,982.25,858.81,907.54,745.7,124.00692504967992,1,0,4,4,1.0
53,1997-07-31,136.34,808.44,909.01,778.49,684.19,931.97,985.7,860.68,909.56,746.8,731.8114315945614,2,0,4,4,1.0
54,1997-08-01,136.01,804.8,894.46,774.77,682.05,925.04,970.01,853.55,900.11,741.29,99.32007385574649,1,0,5,5,1.0
55,1997-08-04,136.01,804.57,893.65,775.12,682.06,924.57,969.22,853.17,899.55,741.21,836.0806128259658,2,1,3,3,1.0
56,1997-08-05,135.99,804.33,893.03,775.24,681.91,924.15,968.46,852.83,899.03,741.03,891.5334023002606,1,0,3,4,1.0
57,1997-08-06,136.05,804.84,894.36,775.92,682.2,924.88,969.79,853.56,899.94,741.68,132.24621169816908,1,2,5,4,1.0
58,1997-08-07,136.03,804.35,890.26,775.63,682.1,923.84,965.81,852.18,897.93,740.66,192.65834332580556,0,2,3,3,1.0
59,1997-08-08,135.85,801.76,877.44,772.67,681.05,919.13,953.31,847.01,890.74,736.41,117.32384465607637,1,0,5,4,1.0
60,1997-08-11,135.96,802.4,878.08,773.5,681.62,919.88,953.99,847.67,891.43,737.05,458.9166552385956,2,2,4,5,1.0
61,1997-08-12,135.97,802.19,876.06,773.18,681.69,919.29,952.17,847.01,890.44,736.53,57.26948229135398,2,2,3,5,1.0
62,1997-08-13,136.08,803.18,878.95,773.71,682.31,920.75,954.83,848.5,892.25,737.66,189.78123430293005,1,0,5,3,1.0
63,1997-08-14,136.22,804.81,885.6,775.72,683.07,923.63,962.66,851.4,896.71,740.21,161.47663697884485,1,1,4,3,1.0
64,1997-08-15,136.32,805.58,885.92,776.61,683.63,924.98,963.4,852.09,897.79,740.9,552.7285771750228,0,2,5,4,1.0
65,1997-08-18,136.49,807.16,890.08,777.92,684.6,927.36,967.4,854.35,900.63,742.75,707.1806459631655,1,1,4,3,1.0
66,1997-08-19,136.46,807.0,891.14,777.9,684.41,927.24,968.38,854.48,900.89,742.84,907.0414180730714,1,0,5,5,1.0
67,1997-08-20,136.39,806.39,889.0,777.33,684.03,926.27,966.36,853.48,899.6,742.03,340.76822889534674,0,0,4,3,1.0
68,1997-08-21,136.31,805.24,883.63,775.89,683.56,924.22,961.04,851.27,896.52,740.16,451.2834399719403,2,1,5,5,1.0
69,1997-08-22,136.3,804.33,877.74,774.47,683.44,922.24,955.14,849.11,893.27,738.29,850.8826472351551,2,1,4,4,1.0
70,1997-08-25,136.29,804.08,877.67,774.22,683.35,921.85,955.12,848.9,893.02,738.09,920.7920879921379,0,0,3,3,1.0
71,1997-08-26,136.31,804.31,878.93,774.85,683.47,922.26,956.34,849.39,893.7,738.59,67.8931959060034,1,1,4,4,1.0
72,1997-08-27,136.31,804.29,879.61,775.13,683.45,922.29,957.05,849.53,893.96,738.78,195.94305416229395,0,0,4,5,1.0
73,1997-08-28,136.47,806.14,887.35,777.14,684.4,925.48,964.59,852.88,898.51,741.55,576.2254228575127,0,2,3,3,1.0
74,1997-08-29,136.46,805.21,883.7,776.65,684.35,923.75,961.33,851.96,896.13,740.43,252.95315024886844,0,2,5,3,1.0
75,1997-09-01,136.46,805.21,883.7,776.65,684.35,923.75,961.33,851.96,896.13,740.43,937.1481789235116,0,0,4,5,1.0
76,1997-09-02,136.58,806.81,888.05,777.79,684.86,925.65,964.69,853.6,898.65,742.06,405.5364871668243,2,0,5,5,1.0
77,1997-09-03,136.57,806.52,886.5,777.88,684.81,925.16,963.28,852.98,897.86,741.69,462.2060147919232,1,1,3,5,1.0
78,1997-09-04,136.56,806.37,886.39,777.75,684.72,924.96,963.1,852.84,897.68,741.56,433.9047883820931,2,2,3,5,1.0
79,1997-09-05,136.59,806.13,882.71,777.43,684.86,924.27,959.65,851.73,896.07,740.73,297.3614737543726,0,1,5,4,1.0
80,1997-09-08,136.65,806.86,885.92,778.55,685.23,925.55,962.8,853.1,897.93,741.96,79.53865783989988,0,1,5,3,1.0
81,1997-09-09,136.67,806.89,885.22,779.11,685.32,925.49,962.1,852.95,897.65,742.02,496.6030386066732,2,1,4,3,1.0
82,1997-09-10,136.66,806.58,883.11,778.65,685.24,924.88,960.01,852.18,896.56,741.38,283.6450270959129,2,2,4,4,1.0
83,1997-09-11,136.66,806.22,880.24,777.94,685.19,924.13,957.36,851.19,895.19,740.52,410.78042943362846,2,1,5,3,1.0
84,1997-09-12,136.85,808.52,889.11,780.34,686.27,927.94,966.0,855.2,900.5,743.8,656.5605131659448,0,2,5,3,1.0
85,1997-09-15,136.94,809.16,891.06,781.3,686.75,928.35,966.55,856.18,900.94,744.5,434.0281262140743,0,2,5,3,1.0
86,1997-09-16,137.23,813.01,907.09,785.22,688.46,935.0,982.04,863.19,910.34,750.2,437.8745576590928,0,2,3,5,1.0
87,1997-09-17,137.27,813.37,909.22,785.49,688.66,935.59,984.31,864.01,911.48,750.8,88.29891415922808,2,2,5,4,1.0
88,1997-09-18,137.25,813.14,909.07,784.65,688.57,935.22,984.19,863.79,911.21,750.43,908.3747901786464,1,0,5,4,1.0
89,1997-09-19,137.27,813.37,910.72,785.15,688.68,935.67,985.79,864.38,912.04,750.96,492.89997329892356,1,1,3,4,1.0
90,1997-09-22,137.4,814.4,913.54,785.86,689.38,937.23,988.66,865.89,913.98,752.13,588.5170391983871,1,0,5,4,1.0
91,1997-09-23,137.34,813.73,910.42,785.43,689.06,936.11,985.69,864.59,912.27,751.16,229.96551473772965,2,2,5,5,1.0
92,1997-09-24,137.43,814.84,916.52,786.47,689.58,938.0,991.38,866.97,915.39,753.01,929.7133992991044,2,1,4,3,1.0
93,1997-09-25,137.31,813.2,908.96,785.03,688.89,935.18,984.16,863.81,911.18,750.53,616.2882899038814,0,1,5,5,1.0
94,1997-09-26,137.42,814.28,912.31,786.14,689.52,936.97,987.5,865.49,913.43,751.93,691.5039205782301,1,0,4,5,1.0
95,1997-09-29,137.5,814.61,911.53,786.53,689.93,937.26,986.84,865.55,913.37,752.06,726.7363859307537,0,0,3,5,1.0
96,1997-09-30,137.5,813.97,908.04,786.49,690.13,936.66,983.93,864.9,911.81,751.35,518.2921785924768,2,1,5,5,1.0
97,1997-10-01,137.63,816.2,917.67,788.2,690.7,939.85,992.22,868.31,916.8,754.31,295.0960455413445,2,1,3,5,1.0
98,1997-10-02,137.69,816.79,920.01,788.86,691.01,940.84,994.25,869.35,918.11,755.16,588.0343590392849,1,1,4,3,1.0
99,1997-10-03,137.76,817.26,919.89,789.13,691.35,941.42,994.05,869.69,918.4,755.43,143.35897129662956,2,1,4,3,1.0
100,1997-10-06,137.91,818.68,924.91,790.36,692.2,943.66,998.89,872.04,921.43,757.29,183.393585903491,1,0,3,5,1.0
101,1997-10-07,137.96,819.31,927.33,790.68,692.53,944.73,1001.37,873.13,922.93,758.1,911.3867808264833,1,1,5,4,1.0
102,1997-10-08,137.72,816.2,915.15,788.14,691.16,939.37,989.33,867.69,915.52,753.84,378.666780152355,0,1,5,4,1.0
103,1997-10-09,137.7,815.91,914.24,788.1,691.05,938.97,988.54,867.24,915.0,753.53,887.7410030191838,1,1,5,3,1.0
104,1997-10-10,137.61,814.69,908.27,787.72,690.54,936.83,982.99,864.81,911.79,751.85,610.2192600662493,2,2,3,4,1.0
105,1997-10-13,137.61,814.69,908.27,787.72,690.54,936.83,982.99,864.81,911.79,751.85,292.0854891590562,0,2,3,4,1.0
106,1997-10-14,137.82,816.89,916.21,789.38,691.71,940.45,990.86,868.5,916.71,754.73,744.4132862607462,0,0,5,5,1.0
107,1997-10-15,137.77,816.2,913.31,788.8,691.04,939.06,988.15,867.24,914.93,753.74,362.5804844745535,0,1,3,4,1.0
108,1997-10-16,137.8,816.33,913.57,788.91,691.16,939.29,988.6,867.4,915.22,753.89,907.560548317245,0,2,4,5,1.0
109,1997-10-17,137.67,814.76,908.32,787.33,690.4,936.68,983.63,864.88,911.92,751.81,296.17152016263793,2,2,5,4,1.0
110,1997-10-20,137.75,815.39,910.33,788.14,690.87,937.69,985.73,865.87,913.25,752.68,977.1090495711684,2,2,3,3,1.0
111,1997-10-21,137.74,815.44,910.59,788.28,690.8,937.88,986.1,865.97,913.49,752.81,123.18482812191556,0,0,4,5,1.0
112,1997-10-22,137.77,815.81,911.97,788.8,691.01,938.53,987.45,866.6,914.36,753.38,556.0371158241513,0,0,4,4,1.0
113,1997-10-23,138.02,818.43,920.98,790.86,692.4,942.74,996.32,870.88,919.98,756.74,350.44911726371953,0,1,5,4,1.0
114,1997-10-24,138.06,818.99,924.55,791.29,692.62,943.7,999.66,872.2,921.71,757.7,86.85488787025164,1,1,4,3,1.0
115,1997-10-27,138.48,822.58,930.26,793.59,694.99,948.91,1006.04,876.43,927.1,761.08,369.72428623284395,2,2,3,5,1.0
116,1997-10-28,138.25,820.35,924.7,792.1,693.7,945.62,1000.72,873.31,923.26,758.67,784.1707372987271,1,0,5,3,1.0
117,1997-10-29,138.4,822.08,931.8,793.54,694.55,948.46,1007.64,876.42,927.37,761.07,651.3125419574734,2,1,3,3,1.0
118,1997-10-30,138.5,823.49,936.88,794.61,695.12,951.03,1013.08,878.78,930.81,762.96,540.9009493030467,2,2,4,4,1.0
119,1997-10-31,138.53,823.53,938.63,795.21,693.91,945.34,1002.14,879.96,923.37,762.25,302.69125905183216,2,1,4,4,1.0
120,1997-11-03,138.43,822.53,933.96,794.13,693.14,942.91,996.76,877.3,920.24,760.48,827.8895157971343,1,1,3,3,1.0
121,1997-11-04,138.37,821.64,930.57,793.37,692.83,941.36,993.31,875.76,918.1,759.24,925.5720094374825,0,1,5,4,1.0
122,1997-11-05,138.4,821.86,931.26,793.67,692.94,941.67,993.79,876.1,918.46,759.53,454.5733142440553,1,0,4,3,1.0
123,1997-11-06,138.47,822.9,936.69,794.96,693.32,943.5,998.81,878.27,921.3,761.28,83.58290764260934,2,0,4,4,1.0
124,1997-11-07,138.47,822.86,936.5,795.1,693.35,943.42,998.95,878.19,921.3,761.29,545.1522667651765,1,2,5,4,1.0
125,1997-11-10,138.5,823.11,936.97,795.12,693.55,943.51,999.49,878.5,921.54,761.49,748.3354357472107,1,2,5,4,1.0
126,1997-11-11,138.5,823.11,936.97,795.12,693.55,943.51,999.49,878.5,921.54,761.49,946.7812314060895,0,2,5,5,1.0
127,1997-11-12,138.6,823.68,939.35,795.69,694.07,944.59,1001.98,879.53,923.06,762.32,142.0899896885367,0,2,3,4,1.0
128,1997-11-13,138.65,824.27,941.03,795.91,694.39,945.54,1003.64,880.41,924.21,762.93,907.6838269120674,2,2,4,4,1.0
129,1997-11-14,138.69,824.51,942.93,796.01,694.35,944.36,1004.12,881.07,923.65,763.15,26.11496811051439,1,1,3,5,1.0
130,1997-11-17,138.76,825.38,945.33,796.6,694.79,945.48,1006.37,882.35,925.11,764.09,849.2727079935536,2,1,5,4,1.0
131,1997-11-18,138.75,825.22,945.84,796.43,694.77,945.56,1006.57,882.35,925.23,764.06,803.8464760380722,0,1,4,5,1.0
132,1997-11-19,138.81,825.91,950.5,797.02,695.09,946.75,1010.69,884.05,927.37,765.31,915.3190991934974,2,1,5,3,1.0
133,1997-11-20,138.77,825.52,948.43,796.72,694.87,946.11,1008.64,883.23,926.27,764.7,148.21755074909194,2,2,4,4,1.0
134,1997-11-21,138.9,826.48,950.06,797.41,695.55,947.43,1010.18,884.39,927.61,765.63,414.8878171679128,1,2,3,3,1.0
135,1997-11-24,138.86,825.77,946.66,797.13,695.33,946.19,1006.73,882.99,925.66,764.63,630.0597282562926,2,2,4,5,1.0
136,1997-11-25,138.86,825.86,949.06,797.18,695.32,946.47,1008.88,883.65,926.57,765.06,362.5184633186636,1,1,5,5,1.0
137,1997-11-26,138.83,825.6,949.77,797.28,695.19,947.16,1011.37,883.62,927.85,765.28,876.4182136529173,1,2,4,3,1.0
138,1997-11-27,138.83,825.6,949.77,797.28,695.19,947.16,1011.37,883.62,927.85,765.28,254.33779138666213,0,0,5,5,1.0
139,1997-11-28,138.88,825.43,951.09,797.82,695.63,947.49,1013.51,884.55,928.58,765.76,665.0234073582519,0,1,5,4,1.0
140,1997-12-01,138.88,826.0,952.88,797.81,695.46,947.88,1013.82,884.72,929.13,766.1,570.1148798124105,2,2,4,3,1.0
141,1997-12-02,138.89,826.13,953.45,798.46,695.54,948.04,1014.05,884.96,929.31,766.44,879.4142591019424,1,2,4,4,1.0
142,1997-12-03,138.99,826.86,954.95,799.5,696.03,949.17,1015.65,885.9,930.55,767.35,513.990316472784,1,0,5,4,1.0
143,1997-12-04,139.08,827.35,953.59,799.9,696.5,949.65,1014.48,885.94,930.45,767.47,65.98287014778603,0,0,5,3,1.0
144,1997-12-05,138.94,825.66,949.46,799.08,695.72,946.99,1010.24,883.58,927.36,765.72,195.0425669251369,2,2,5,4,1.0
145,1997-12-08,138.89,824.79,943.74,799.02,695.51,945.46,1005.01,881.45,924.63,764.38,537.6839549620958,1,2,5,5,1.0
146,1997-12-09,138.97,825.36,944.34,799.35,695.95,946.17,1005.82,882.06,925.34,764.82,269.7827850163014,2,0,5,5,1.0
147,1997-12-10,139.15,826.97,948.07,800.43,696.91,948.51,1009.57,884.25,928.06,766.52,700.9506569235784,2,0,5,3,1.0
148,1997-12-11,139.3,828.88,955.74,801.81,697.75,951.72,1017.1,887.68,932.61,769.13,245.99781769647666,0,0,4,4,1.0
149,1997-12-12,139.44,830.64,964.22,803.02,698.53,954.74,1025.45,891.2,937.33,771.75,603.8285309250981,2,1,5,4,1.0
150,1997-12-15,139.41,830.08,960.7,802.64,697.68,950.88,1022.36,889.87,933.9,770.49,620.7433530368141,0,2,5,3,1.0
151,1997-12-16,139.44,830.32,962.21,802.88,697.86,951.33,1023.92,890.44,934.71,770.94,889.1593484501234,2,2,4,5,1.0
152,1997-12-17,139.41,829.78,959.07,802.5,697.7,950.46,1021.0,889.23,933.18,770.06,726.7624397321802,0,2,4,3,1.0
153,1997-12-18,139.48,830.73,964.23,803.27,698.11,952.08,1025.9,891.27,935.85,771.6,755.2232063165051,1,0,3,4,1.0
154,1997-12-19,139.54,831.74,968.24,804.2,698.46,953.78,1029.63,893.07,938.18,773.01,364.92779171171276,1,1,3,3,1.0
155,1997-12-22,139.53,831.75,970.21,804.23,698.41,953.96,1031.49,893.58,938.92,773.35,252.05150888365813,1,2,5,4,1.0
156,1997-12-23,139.55,831.78,969.92,804.15,698.51,953.95,1031.33,893.53,938.86,773.29,185.73533082198057,2,0,4,5,1.0
157,1997-12-24,139.57,831.65,969.2,803.79,698.6,953.58,1030.71,893.25,938.42,773.01,777.3981826968794,0,0,4,3,1.0
158,1997-12-25,139.57,831.65,969.2,803.79,698.6,953.58,1030.71,893.25,938.42,773.01,9.985015528849118,0,0,3,3,1.0
159,1997-12-26,139.6,831.76,969.47,803.65,698.73,953.74,1030.88,893.4,938.58,773.05,907.4815804435017,2,1,3,4,1.0
160,1997-12-29,139.66,831.95,968.22,803.69,699.1,953.85,1029.98,893.23,938.33,772.96,208.1533136544629,1,0,3,5,1.0
161,1997-12-30,139.66,831.21,962.79,803.63,699.05,952.5,1025.03,891.28,935.81,771.71,802.1050656411716,0,0,5,3,1.0
162,1997-12-31,139.82,832.19,967.04,805.09,699.75,954.67,1029.34,893.86,938.42,773.47,386.96569174556726,0,0,3,3,1.0
163,1998-01-01,139.82,832.19,967.04,805.09,699.75,954.67,1029.34,893.86,938.42,773.47,225.89014705179622,2,0,4,5,1.0
164,1998-01-02,139.98,834.76,976.73,806.84,700.38,958.32,1037.87,897.58,943.8,776.6,244.89122334025558,1,2,4,5,1.0
165,1998-01-05,140.38,839.1,989.66,809.42,702.57,965.12,1050.65,904.22,952.37,781.57,89.33980639927353,1,0,5,4,1.0
166,1998-01-06,140.5,840.01,990.46,809.88,703.25,966.35,1051.2,905.14,953.31,782.21,997.3551988928211,2,0,4,4,1.0
167,1998-01-07,140.5,839.33,983.37,809.2,703.2,964.87,1044.64,902.82,950.13,780.53,958.4008732337236,2,2,4,4,1.0
168,1998-01-08,140.78,841.78,988.94,811.05,704.71,968.25,1049.97,906.13,954.05,783.1,549.1450378135296,2,2,5,5,1.0
169,1998-01-09,141.09,844.78,995.24,813.0,706.42,972.59,1056.32,910.06,958.89,786.12,211.8448153936765,1,0,5,4,1.0
170,1998-01-12,141.09,844.95,996.6,812.84,706.48,973.05,1057.88,910.54,959.71,786.39,7.948082415207058,1,2,5,5,1.0
171,1998-01-13,141.01,844.16,995.82,812.72,706.05,971.96,1057.32,909.73,958.85,785.88,887.1745051008564,0,0,4,4,1.0
172,1998-01-14,140.95,843.2,992.9,811.5,705.69,970.32,1054.39,908.24,956.84,784.57,973.0854911940638,1,0,5,3,1.0
173,1998-01-15,140.95,843.09,991.97,811.31,705.7,967.29,1043.56,907.92,951.24,783.49,920.2236049137567,1,0,4,3,1.0
174,1998-01-16,140.85,841.73,985.63,810.5,705.09,965.09,1037.64,905.25,947.86,781.58,123.20849140388812,1,2,3,4,1.0
175,1998-01-19,140.85,841.73,985.63,810.5,705.09,965.09,1037.64,905.25,947.86,781.58,11.78655449569488,0,0,4,4,1.0
176,1998-01-20,140.91,841.7,983.65,810.61,705.45,964.73,1036.07,904.73,947.09,781.28,578.6742740589629,0,0,3,3,1.0
177,1998-01-21,140.99,842.45,986.17,811.12,705.86,965.87,1038.54,905.96,948.64,782.2,575.26278635063,2,0,3,4,1.0
178,1998-01-22,141.08,842.99,981.77,810.79,706.38,966.28,1034.75,905.27,947.58,781.64,585.5098523820656,1,1,3,5,1.0
179,1998-01-23,140.85,839.86,968.19,808.18,705.13,961.0,1022.15,899.38,940.0,777.16,158.77273866922715,0,0,3,3,1.0
180,1998-01-26,140.97,841.33,977.07,809.78,705.78,963.54,1030.53,902.78,944.45,779.77,878.5153488456232,2,0,3,3,1.0
181,1998-01-27,140.81,839.56,971.4,809.46,704.88,960.84,1025.24,899.97,940.97,777.94,828.9895645674949,0,0,4,4,1.0
182,1998-01-28,140.83,839.71,972.51,809.59,704.97,961.09,1026.5,900.37,941.56,778.25,664.8026306103577,2,1,5,3,1.0
183,1998-01-29,141.08,842.74,983.38,811.82,706.4,966.01,1036.5,905.48,948.02,782.09,946.4431515263299,1,2,5,3,1.0
184,1998-01-30,141.18,843.36,986.72,813.1,706.99,967.33,1039.21,907.55,949.55,783.4,538.351652616631,2,1,5,3,1.0
185,1998-02-02,141.16,843.18,982.18,812.68,706.7,966.23,1034.23,905.49,947.36,782.24,971.1262715020829,2,1,3,3,1.0
186,1998-02-03,141.21,843.66,982.68,812.86,707.01,966.9,1034.6,905.99,947.89,782.6,346.9230789383187,1,1,3,4,1.0
187,1998-02-04,141.26,844.02,981.97,813.32,707.27,967.32,1034.12,906.09,947.98,782.79,973.7422116566021,1,1,3,5,1.0
188,1998-02-05,141.21,842.98,976.07,812.49,707.0,965.47,1028.56,903.75,944.91,781.08,191.13676704653494,0,0,4,5,1.0
189,1998-02-06,141.17,842.66,977.2,813.05,706.73,965.15,1029.48,903.8,945.04,781.28,248.78419513530415,0,1,4,5,1.0
190,1998-02-09,141.16,842.12,974.53,812.86,706.66,964.15,1027.01,902.69,943.57,780.52,355.90549583515417,1,0,5,3,1.0
191,1998-02-10,141.19,842.64,976.81,813.19,706.82,964.99,1029.19,903.68,944.85,781.25,1.167007144232457,1,1,5,4,1.0
192,1998-02-11,141.25,843.83,984.11,814.06,707.17,967.06,1033.24,906.49,947.51,783.08,804.3673966133282,2,2,4,5,1.0
193,1998-02-12,141.29,843.83,982.7,814.0,707.38,966.94,1034.36,906.13,947.83,783.04,340.1494762980636,0,1,4,3,1.0
194,1998-02-13,141.37,844.71,986.17,814.95,708.02,970.12,1042.34,907.7,952.55,784.74,685.1469332093635,0,0,5,3,1.0
195,1998-02-16,141.37,844.71,986.17,814.95,708.02,970.12,1042.34,907.7,952.55,784.74,712.3932572381908,0,2,3,3,1.0
196,1998-02-17,141.51,846.2,992.33,816.15,708.78,972.53,1048.28,910.45,956.09,786.82,705.6814593790032,2,2,3,5,1.0
197,1998-02-18,141.47,845.37,988.32,815.83,708.54,971.05,1044.44,908.77,953.84,785.66,140.98876914321235,2,2,3,4,1.0
198,1998-02-19,141.44,845.06,987.41,815.67,708.41,970.5,1043.72,908.29,953.26,785.31,85.57532446167771,1,0,4,4,1.0
